Key	Value
ENST00000375949.5	22
ENST00000359621.5	22
ENST00000375910.8	22
ENST00000333868.10	15
ENST00000375847.8	129
ENST00000375826.4	84
ENST00000480945.6	213
ENST00000345034.2	156
ENST00000375799.8	239
ENST00000294454.6	228
ENST00000375782.2	61
ENST00000375771.5	443
ENST00000483273.2	1699
ENST00000375759.8	361
ENST00000375733.6	239
ENST00000329454.2	68
ENST00000375718.4	125
ENST00000331433.5	35
ENST00000682338.1	410
ENST00000375662.5	209
ENST00000358432.8	137
ENST00000270747.8	180
ENST00000375599.8	441
ENST00000375592.8	243
ENST00000401088.9	16
ENST00000335496.5	483
ENST00000337132.10	38
ENST00000375541.10	88
ENST00000375535.4	75
ENST00000326735.13	190
ENST00000375499.8	13
ENST00000375486.9	80
ENST00000375471.5	90
ENST00000375460.3	40
ENST00000375448.4	26
ENST00000619609.1	50
ENST00000375436.9	141
ENST00000361221.8	296
ENST00000375406.2	196
ENST00000251296.4	331
ENST00000400664.3	52
ENST00000420770.7	758
ENST00000375341.8	32
ENST00000455833.7	344
ENST00000375254.8	18
ENST00000477853.6	15
ENST00000330263.5	31
ENST00000361640.5	61
ENST00000235835.8	20
ENST00000375153.8	642
ENST00000433834.5	385
ENST00000322753.7	67
ENST00000602662.1	150
ENST00000289753.2	879
ENST00000294543.11	241
ENST00000375121.4	182
ENST00000375120.4	119
ENST00000375116.3	58
ENST00000482011.3	145
ENST00000375108.4	282
ENST00000375105.8	38
ENST00000375102.4	105
ENST00000375099.4	73
ENST00000375078.4	831
ENST00000264198.5	127
ENST00000332947.6	401
ENST00000375071.4	33
ENST00000321556.5	91
ENST00000415136.6	143
ENST00000247986.2	311
ENST00000444387.7	565
ENST00000312239.10	104
ENST00000400422.6	581
ENST00000415912.6	126
ENST00000318249.10	351
ENST00000374832.5	254
ENST00000374763.6	9
ENST00000308271.14	192
ENST00000543870.1	89
ENST00000374695.8	93
ENST00000337107.11	18
ENST00000290122.8	18
ENST00000695855.1	281
ENST00000315554.15	84
ENST00000290167.11	175
ENST00000404138.5	511
ENST00000166244.8	147
ENST00000402322.2	42
ENST00000374637.1	247
ENST00000400191.7	18
ENST00000566855.4	79
ENST00000400181.9	129
ENST00000302291.9	316
ENST00000374619.2	994
ENST00000374616.7	109
ENST00000374608.3	381
ENST00000450454.7	115
ENST00000336689.8	46
ENST00000361729.3	440
ENST00000374561.6	75
ENST00000643754.2	18
ENST00000246151.9	98
ENST00000374514.8	132
ENST00000617979.5	119
ENST00000374490.8	14
ENST00000374479.4	4
ENST00000374472.5	162
ENST00000334351.8	395
ENST00000492112.3	72
ENST00000374434.4	123
ENST00000270800.2	58
ENST00000327535.6	41
ENST00000361548.9	195
ENST00000337248.9	177
ENST00000374399.9	360
ENST00000374395.9	374
ENST00000374392.3	90
ENST00000323848.14	25
ENST00000374379.9	107
ENST00000338888.4	272
ENST00000236273.9	35
ENST00000243189.12	212
ENST00000328664.9	39
ENST00000374358.5	136
ENST00000294413.13	39
ENST00000374343.5	202
ENST00000374338.5	93
ENST00000374332.9	1007
ENST00000374315.1	38
ENST00000374301.7	308
ENST00000374298.4	100
ENST00000675840.1	329
ENST00000455785.7	93
ENST00000374284.5	125
ENST00000374280.4	872
ENST00000374276.4	222
ENST00000374272.4	136
ENST00000374269.2	109
ENST00000374268.5	128
ENST00000374266.7	76
ENST00000361530.11	57
ENST00000456354.7	26
ENST00000252992.8	131
ENST00000270792.10	70
ENST00000314675.11	80
ENST00000374213.3	60
ENST00000326279.11	75
ENST00000360009.6	77
ENST00000619352.4	53
ENST00000374168.7	160
ENST00000324856.13	389
ENST00000078527.9	160
ENST00000374142.9	117
ENST00000339276.6	64
ENST00000374135.9	187
ENST00000361720.10	25
ENST00000321265.10	106
ENST00000254227.4	35
ENST00000320567.6	151
ENST00000522111.3	95
ENST00000289166.6	180
ENST00000263980.8	791
ENST00000319394.8	419
ENST00000611517.4	53
ENST00000616558.5	167
ENST00000357582.3	364
ENST00000270879.9	6
ENST00000374030.3	94
ENST00000374024.4	121
ENST00000618852.5	225
ENST00000673934.1	901
ENST00000399173.5	271
ENST00000339145.8	88
ENST00000373954.11	120
ENST00000373943.9	89
ENST00000311772.10	54
ENST00000373921.8	28
ENST00000373912.8	132
ENST00000373894.8	184
ENST00000373884.6	97
ENST00000373871.8	155
ENST00000305392.3	190
ENST00000263697.6	31
ENST00000335514.10	60
ENST00000253063.4	330
ENST00000373842.9	207
ENST00000373836.4	214
ENST00000683442.1	303
ENST00000373830.4	26
ENST00000685312.1	171
ENST00000465518.3	247
ENST00000373816.6	86
ENST00000373812.8	181
ENST00000234961.7	214
ENST00000343067.9	207
ENST00000521452.2	68
ENST00000373795.7	148
ENST00000263702.11	28
ENST00000460170.2	6
ENST00000373765.5	34
ENST00000294507.4	29
ENST00000339394.7	172
ENST00000426105.7	113
ENST00000373736.7	340
ENST00000263694.9	37
ENST00000344147.10	99
ENST00000373713.7	62
ENST00000373709.8	53
ENST00000271064.12	96
ENST00000403528.7	396
ENST00000373703.5	12
ENST00000373672.8	215
ENST00000373655.6	342
ENST00000360482.7	101
ENST00000647444.2	975
ENST00000327300.12	128
ENST00000336294.10	109
ENST00000373625.8	75
ENST00000373609.1	281
ENST00000373602.10	138
ENST00000537469.2	11
ENST00000409358.2	5
ENST00000309777.11	31
ENST00000677701.1	330
ENST00000373582.4	200
ENST00000336890.10	112
ENST00000373548.8	87
ENST00000329421.8	200
ENST00000373534.4	163
ENST00000432622.2	394
ENST00000455895.7	27
ENST00000609129.2	75
ENST00000373510.9	229
ENST00000373501.6	170
ENST00000373493.10	99
ENST00000409190.8	110
ENST00000401073.7	125
ENST00000373477.9	114
ENST00000373476.5	277
ENST00000496770.1	214
ENST00000373467.4	46
ENST00000373463.8	151
ENST00000373456.11	0
ENST00000672715.1	55
ENST00000373443.7	318
ENST00000291416.10	611
ENST00000373428.5	0
ENST00000373418.7	339
ENST00000684572.1	157
ENST00000373381.9	133
ENST00000681531.1	113
ENST00000488417.2	883
ENST00000456842.1	109
ENST00000338513.1	173
ENST00000339480.3	371
ENST00000373362.3	190
ENST00000342280.5	87
ENST00000235180.4	0
ENST00000373337.4	42
ENST00000357182.9	205
ENST00000359858.9	132
ENST00000357214.6	96
ENST00000314607.11	338
ENST00000325722.8	225
ENST00000356090.8	127
ENST00000373235.4	264
ENST00000373237.4	94
ENST00000270815.5	183
ENST00000318121.8	108
ENST00000373210.4	401
ENST00000373204.6	213
ENST00000373191.9	322
ENST00000207457.8	108
ENST00000373178.5	13
ENST00000303143.9	7
ENST00000373166.8	108
ENST00000373151.6	216
ENST00000469141.6	340
ENST00000505871.7	164
ENST00000490466.2	217
ENST00000373130.7	174
ENST00000315732.3	166
ENST00000235532.9	82
ENST00000373116.6	109
ENST00000361632.8	23
ENST00000373091.8	407
ENST00000373087.7	88
ENST00000373075.6	17
ENST00000296215.8	64
ENST00000296218.8	10
ENST00000373062.8	115
ENST00000401068.1	585
ENST00000486637.2	531
ENST00000327331.2	113
ENST00000373048.9	54
ENST00000373045.11	336
ENST00000373044.3	28
ENST00000373042.5	615
ENST00000373036.5	113
ENST00000373024.8	90
ENST00000373019.5	57
ENST00000373016.4	178
ENST00000373014.5	69
ENST00000373012.5	50
ENST00000373001.4	126
ENST00000397572.5	43
ENST00000360786.3	253
ENST00000372990.6	274
ENST00000432648.8	105
ENST00000372967.3	83
ENST00000361689.7	179
ENST00000331593.6	356
ENST00000372856.7	800
ENST00000372852.4	18
ENST00000235628.2	69
ENST00000372844.8	136
ENST00000324379.10	19
ENST00000372827.8	380
ENST00000327582.5	93
ENST00000316891.10	13
ENST00000397332.2	125
ENST00000372811.10	148
ENST00000372797.7	561
ENST00000642050.2	14
ENST00000372771.5	13
ENST00000372766.4	57
ENST00000372759.4	36
ENST00000372748.8	89
ENST00000372718.8	394
ENST00000361584.5	486
ENST00000372706.6	931
ENST00000296380.9	205
ENST00000648542.1	315
ENST00000372683.1	178
ENST00000308733.9	6
ENST00000347132.10	307
ENST00000372638.4	236
ENST00000372616.1	130
ENST00000439569.2	384
ENST00000326197.11	300
ENST00000372587.5	82
ENST00000372583.6	1310
ENST00000372581.2	41
ENST00000357001.3	33
ENST00000372572.5	312
ENST00000431473.4	143
ENST00000372565.8	25
ENST00000372561.4	23
ENST00000342022.8	110
ENST00000678333.1	11
ENST00000321358.12	148
ENST00000372539.3	77
ENST00000296388.10	57
ENST00000372525.7	63
ENST00000372521.9	244
ENST00000372517.8	253
ENST00000372508.7	58
ENST00000426263.10	217
ENST00000335282.5	48
ENST00000236051.3	172
ENST00000610710.4	146
ENST00000439858.6	517
ENST00000423420.1	163
ENST00000372476.8	90
ENST00000372470.9	31
ENST00000372462.1	203
ENST00000621943.4	267
ENST00000372457.9	36
ENST00000562955.2	73
ENST00000372430.9	138
ENST00000359947.9	333
ENST00000372396.4	143
ENST00000642331.1	188
ENST00000372354.3	298
ENST00000372343.8	651
ENST00000255108.8	166
ENST00000472174.7	81
ENST00000434555.7	490
ENST00000372318.8	180
ENST00000372310.8	242
ENST00000372299.4	87
ENST00000315913.9	85
ENST00000372257.7	231
ENST00000361799.7	393
ENST00000372237.8	90
ENST00000458657.6	307
ENST00000372224.9	96
ENST00000396651.8	57
ENST00000372207.4	465
ENST00000372201.5	87
ENST00000675259.1	579
ENST00000372192.4	321
ENST00000360403.7	112
ENST00000372172.5	67
ENST00000246337.9	12
ENST00000359600.6	255
ENST00000334815.6	254
ENST00000672818.3	186
ENST00000372090.6	83
ENST00000372086.4	398
ENST00000626657.2	365
ENST00000401061.9	33
ENST00000424390.2	281
ENST00000621846.4	290
ENST00000351223.7	82
ENST00000528266.6	145
ENST00000355105.8	1264
ENST00000372025.5	190
ENST00000396478.4	107
ENST00000361297.7	284
ENST00000420542.5	257
ENST00000372003.6	464
ENST00000506599.2	17
ENST00000686737.1	202
ENST00000371980.4	93
ENST00000442598.5	114
ENST00000617190.5	294
ENST00000311672.10	69
ENST00000474844.6	20
ENST00000243167.9	32
ENST00000360032.4	194
ENST00000697682.1	760
ENST00000481882.7	432
ENST00000649800.1	244
ENST00000319928.9	151
ENST00000576409.5	63
ENST00000334122.5	81
ENST00000371933.8	1027
ENST00000371923.9	36
ENST00000310638.9	43
ENST00000371901.4	149
ENST00000334194.4	260
ENST00000371891.8	45
ENST00000294338.7	104
ENST00000294339.3	577
ENST00000371877.8	155
ENST00000371873.10	156
ENST00000335071.4	31
ENST00000334793.6	92
ENST00000606738.3	596
ENST00000438567.7	21
ENST00000371847.8	196
ENST00000371839.6	158
ENST00000371833.4	60
ENST00000357083.8	12
ENST00000404795.4	336
ENST00000396153.7	456
ENST00000396148.2	1205
ENST00000371759.7	6
ENST00000242719.4	484
ENST00000447632.6	49
ENST00000371733.8	35
ENST00000447887.5	19
ENST00000354831.11	190
ENST00000371655.4	149
ENST00000371626.9	95
ENST00000371614.2	49
ENST00000313334.13	98
ENST00000287727.8	457
ENST00000284376.8	151
ENST00000371568.8	183
ENST00000257181.10	148
ENST00000257177.9	255
ENST00000361314.5	39
ENST00000517870.2	326
ENST00000371538.5	21
ENST00000294353.7	201
ENST00000371528.2	124
ENST00000371522.9	67
ENST00000371514.8	121
ENST00000395871.7	168
ENST00000371494.9	189
ENST00000371486.4	120
ENST00000294360.5	59
ENST00000371470.8	70
ENST00000306052.12	158
ENST00000371445.3	55
ENST00000312233.4	567
ENST00000371429.4	35
ENST00000072644.7	354
ENST00000361921.8	24
ENST00000194214.10	160
ENST00000319223.8	211
ENST00000371360.2	74
ENST00000234831.10	16
ENST00000234827.6	193
ENST00000530059.3	78
ENST00000534324.6	277
ENST00000360840.9	77
ENST00000610401.6	386
ENST00000343744.7	82
ENST00000302250.7	130
ENST00000421030.7	292
ENST00000371281.4	48
ENST00000371279.4	92
ENST00000371276.9	160
ENST00000371273.4	54
ENST00000371269.9	76
ENST00000371268.4	438
ENST00000651561.1	254
ENST00000302118.5	290
ENST00000294383.7	251
ENST00000371250.4	547
ENST00000371244.9	74
ENST00000343433.7	114
ENST00000361249.4	105
ENST00000696164.1	260
ENST00000371236.7	267
ENST00000371226.8	40
ENST00000371225.4	96
ENST00000472487.6	10
ENST00000371222.4	977
ENST00000303721.12	71
ENST00000371208.5	169
ENST00000371204.4	27
ENST00000371201.3	108
ENST00000403491.8	231
ENST00000606498.5	21
ENST00000642238.2	111
ENST00000498273.2	277
ENST00000371153.9	399
ENST00000339950.5	421
ENST00000251157.10	0
ENST00000371129.4	47
ENST00000371120.7	159
ENST00000371116.4	492
ENST00000263440.6	268
ENST00000371092.7	61
ENST00000371088.5	111
ENST00000371084.8	78
ENST00000371079.6	401
ENST00000371076.7	244
ENST00000290039.6	105
ENST00000371072.8	78
ENST00000699312.1	381
ENST00000395334.6	358
ENST00000371069.5	203
ENST00000371065.9	57
ENST00000349533.11	169
ENST00000341517.9	424
ENST00000371037.9	206
ENST00000282670.7	129
ENST00000304526.3	55
ENST00000371026.8	25
ENST00000401041.6	39
ENST00000235345.6	135
ENST00000684719.1	144
ENST00000347310.10	117
ENST00000648487.1	183
ENST00000370995.6	86
ENST00000370986.9	294
ENST00000370982.4	200
ENST00000370981.3	637
ENST00000262348.9	224
ENST00000262340.6	49
ENST00000370966.9	222
ENST00000310961.9	418
ENST00000370952.4	39
ENST00000370950.7	82
ENST00000370944.9	314
ENST00000370938.8	148
ENST00000356595.8	211
ENST00000370920.8	40
ENST00000357731.10	45
ENST00000395089.5	0
ENST00000326637.8	65
ENST00000326665.10	273
ENST00000417775.5	505
ENST00000370867.8	93
ENST00000356261.4	579
ENST00000370855.5	114
ENST00000370834.9	79
ENST00000319942.8	16
ENST00000263187.4	104
ENST00000284142.7	113
ENST00000328299.4	121
ENST00000477717.6	196
ENST00000370812.8	28
ENST00000354567.7	295
ENST00000370801.8	476
ENST00000370794.7	261
ENST00000443751.3	32
ENST00000334785.12	188
ENST00000370768.7	68
ENST00000370763.6	172
ENST00000370759.4	129
ENST00000370758.5	195
ENST00000370751.10	134
ENST00000370747.9	85
ENST00000370742.4	76
ENST00000674419.1	237
ENST00000260505.13	378
ENST00000370689.6	264
ENST00000370670.2	100
ENST00000370665.4	81
ENST00000370654.6	16
ENST00000370645.9	356
ENST00000370630.6	25
ENST00000342203.8	180
ENST00000370611.4	209
ENST00000370608.8	241
ENST00000294664.11	174
ENST00000370589.7	107
ENST00000341460.6	20
ENST00000471115.6	29
ENST00000648566.1	280
ENST00000284031.13	114
ENST00000451137.7	224
ENST00000370574.4	149
ENST00000370571.7	376
ENST00000317336.11	369
ENST00000370565.5	77
ENST00000234701.7	351
ENST00000370563.3	42
ENST00000370558.8	324
ENST00000331835.10	15
ENST00000370550.10	402
ENST00000370542.1	150
ENST00000370521.8	308
ENST00000370500.10	68
ENST00000260508.9	46
ENST00000399794.6	716
ENST00000370481.9	205
ENST00000370473.5	68
ENST00000370466.4	269
ENST00000294671.3	102
ENST00000355754.7	108
ENST00000370459.8	536
ENST00000370456.5	92
ENST00000640258.1	817
ENST00000370454.9	207
ENST00000394593.7	412
ENST00000340281.9	148
ENST00000370445.5	107
ENST00000370440.5	218
ENST00000370425.8	67
ENST00000428239.5	259
ENST00000525962.5	62
ENST00000402388.1	134
ENST00000370383.5	95
ENST00000637221.2	39
ENST00000370375.8	173
ENST00000370360.8	93
ENST00000610020.2	15
ENST00000427103.6	183
ENST00000370331.5	10
ENST00000370321.8	75
ENST00000370310.5	33
ENST00000370298.9	244
ENST00000370282.8	171
ENST00000370276.6	161
ENST00000370267.1	587
ENST00000271234.13	164
ENST00000260502.11	251
ENST00000436063.7	58
ENST00000370238.8	267
ENST00000370225.4	103
ENST00000260526.11	202
ENST00000370214.9	90
ENST00000334047.12	123
ENST00000271227.11	95
ENST00000370206.9	216
ENST00000370205.6	53
ENST00000370203.9	274
ENST00000604534.5	180
ENST00000370202.5	21
ENST00000370197.5	55
ENST00000370192.8	112
ENST00000306121.8	11
ENST00000263177.5	190
ENST00000263174.9	205
ENST00000287474.9	602
ENST00000370165.7	138
ENST00000427993.7	301
ENST00000370152.8	138
ENST00000287482.6	116
ENST00000370141.8	6
ENST00000370137.6	240
ENST00000370132.8	14
ENST00000370128.9	160
ENST00000361544.11	488
ENST00000315033.5	437
ENST00000294728.7	119
ENST00000370113.7	287
ENST00000370112.8	187
ENST00000427040.3	349
ENST00000305352.7	244
ENST00000338858.9	0
ENST00000370096.9	344
ENST00000533099.5	236
ENST00000610648.1	170
ENST00000414303.7	14
ENST00000370083.9	215
ENST00000330330.10	215
ENST00000684141.1	224
ENST00000370078.2	42
ENST00000370073.6	718
ENST00000370056.9	311
ENST00000565488.6	205
ENST00000415641.8	213
ENST00000495380.7	157
ENST00000370035.8	329
ENST00000651461.1	209
ENST00000370025.9	282
ENST00000370017.9	26
ENST00000370008.4	64
ENST00000370001.8	269
ENST00000676184.1	249
ENST00000688778.1	98
ENST00000400794.7	134
ENST00000338366.6	56
ENST00000338272.9	109
ENST00000369949.8	180
ENST00000369939.8	69
ENST00000234677.7	75
ENST00000271332.4	541
ENST00000369903.6	140
ENST00000357155.2	20
ENST00000256637.8	26
ENST00000271308.9	118
ENST00000369872.4	298
ENST00000369870.7	15
ENST00000369868.7	26
ENST00000369864.5	395
ENST00000527748.5	683
ENST00000369851.7	106
ENST00000679935.1	187
ENST00000342115.8	432
ENST00000369836.9	291
ENST00000241337.9	59
ENST00000309851.10	57
ENST00000256593.8	62
ENST00000361066.7	310
ENST00000369805.7	230
ENST00000329608.11	175
ENST00000369799.10	288
ENST00000369795.8	14
ENST00000647563.2	60
ENST00000334179.5	92
ENST00000331565.5	477
ENST00000438661.3	1186
ENST00000618772.4	83
ENST00000369779.9	194
ENST00000256644.8	76
ENST00000271331.4	68
ENST00000369771.4	388
ENST00000633222.1	674
ENST00000369769.4	131
ENST00000271324.6	118
ENST00000369763.5	234
ENST00000484310.6	300
ENST00000545121.5	208
ENST00000357640.9	187
ENST00000445067.6	771
ENST00000369740.6	168
ENST00000369738.9	31
ENST00000369732.4	14
ENST00000235090.10	87
ENST00000369722.8	78
ENST00000343534.9	250
ENST00000369716.9	279
ENST00000241356.5	279
ENST00000687939.1	279
ENST00000357260.6	153
ENST00000679724.1	92
ENST00000315987.6	480
ENST00000271277.11	192
ENST00000369684.5	298
ENST00000343210.11	76
ENST00000263168.4	13
ENST00000413052.6	390
ENST00000369637.5	79
ENST00000309276.11	31
ENST00000361886.4	454
ENST00000458229.6	311
ENST00000361127.6	209
ENST00000369611.4	45
ENST00000369604.6	494
ENST00000612242.4	36
ENST00000359785.10	89
ENST00000393316.8	206
ENST00000369569.6	82
ENST00000650450.2	261
ENST00000369558.5	232
ENST00000320334.5	43
ENST00000609117.5	304
ENST00000358465.7	127
ENST00000369541.4	24
ENST00000393277.2	209
ENST00000369535.5	131
ENST00000692719.1	206
ENST00000060969.6	78
ENST00000369522.8	180
ENST00000256592.3	36
ENST00000369516.7	71
ENST00000369512.3	182
ENST00000369509.1	12
ENST00000261448.6	173
ENST00000369506.1	5545
ENST00000369503.9	115
ENST00000683341.1	438
ENST00000537345.5	363
ENST00000369489.10	54
ENST00000318837.6	105
ENST00000369478.4	63
ENST00000393203.3	288
ENST00000256652.8	68
ENST00000369466.9	21
ENST00000256649.9	548
ENST00000369458.8	72
ENST00000356554.7	735
ENST00000369448.4	133
ENST00000369443.10	241
ENST00000349139.6	76
ENST00000336338.10	71
ENST00000369429.5	548
ENST00000235521.5	9
ENST00000325945.4	126
ENST00000543831.5	249
ENST00000369413.8	138
ENST00000421812.3	613
ENST00000641023.2	89
ENST00000369406.8	61
ENST00000354219.5	440
ENST00000369400.2	179
ENST00000256646.7	256
ENST00000578049.4	139
ENST00000577856.3	50
ENST00000369390.7	851
ENST00000367123.8	692
ENST00000584486.6	845
ENST00000581164.2	50
ENST00000577412.6	1139
ENST00000581138.4	50
ENST00000641863.3	648
ENST00000400889.3	874
ENST00000544708.3	50
ENST00000313835.14	146
ENST00000344770.6	73
ENST00000369288.7	239
ENST00000582693.5	222
ENST00000698751.1	515
ENST00000334513.6	11
ENST00000393045.7	91
ENST00000355594.9	108
ENST00000369304.8	36
ENST00000369306.8	29
ENST00000632555.1	21
ENST00000604000.4	90
ENST00000606888.3	1288
ENST00000369314.2	120
ENST00000582401.6	313
ENST00000336751.11	238
ENST00000583866.9	35
ENST00000687833.1	369
ENST00000698835.1	1438
ENST00000254101.4	65
ENST00000254090.9	90
ENST00000369258.8	20
ENST00000234739.8	651
ENST00000583509.7	476
ENST00000621517.1	144
ENST00000314163.12	117
ENST00000615281.4	1151
ENST00000419275.3	50
ENST00000593495.4	282
ENST00000322209.5	179
ENST00000369354.7	190
ENST00000615421.4	870
ENST00000578189.1	446
ENST00000621744.4	1270
ENST00000651566.2	786
ENST00000585245.3	50
ENST00000369168.5	50
ENST00000369167.3	47
ENST00000331491.2	12
ENST00000578186.3	28
ENST00000369158.2	51
ENST00000369159.3	52
ENST00000607355.3	53
ENST00000403683.2	47
ENST00000579512.3	28
ENST00000369155.4	42
ENST00000331380.4	57
ENST00000331128.6	49
ENST00000369150.1	322
ENST00000369146.8	453
ENST00000271628.9	44
ENST00000439741.4	232
ENST00000581312.6	345
ENST00000644510.2	82
ENST00000369124.5	342
ENST00000583931.6	326
ENST00000647854.1	127
ENST00000369109.8	206
ENST00000369102.5	770
ENST00000290363.6	714
ENST00000581066.2	447
ENST00000324862.7	108
ENST00000369068.5	568
ENST00000369064.8	32
ENST00000369047.9	101
ENST00000271643.9	250
ENST00000369026.3	80
ENST00000339643.9	106
ENST00000271732.8	175
ENST00000361824.7	125
ENST00000368985.8	82
ENST00000676966.1	139
ENST00000358595.10	32
ENST00000271640.9	190
ENST00000271688.10	426
ENST00000368947.9	201
ENST00000361936.9	955
ENST00000271620.8	184
ENST00000368931.8	140
ENST00000368926.6	97
ENST00000540998.5	570
ENST00000368921.5	163
ENST00000368916.1	32
ENST00000368913.7	129
ENST00000368910.4	106
ENST00000368905.9	9
ENST00000368908.10	644
ENST00000295314.9	100
ENST00000368892.9	76
ENST00000368888.9	445
ENST00000368881.8	74
ENST00000336715.11	114
ENST00000368875.6	581
ENST00000452671.7	173
ENST00000368868.10	64
ENST00000290541.7	15
ENST00000271715.7	344
ENST00000271636.12	143
ENST00000368849.8	58
ENST00000458013.7	152
ENST00000290583.9	783
ENST00000479191.2	15
ENST00000368830.8	17
ENST00000400999.7	67
ENST00000458431.6	128
ENST00000368820.4	203
ENST00000318247.7	38
ENST00000694868.1	388
ENST00000368817.10	147
ENST00000368814.8	53
ENST00000368811.8	129
ENST00000271638.3	89
ENST00000368806.2	65
ENST00000614923.2	85
ENST00000316073.3	65
ENST00000368801.4	76
ENST00000368799.2	72
ENST00000388718.5	73
ENST00000271835.3	63
ENST00000334269.3	217
ENST00000368790.4	93
ENST00000368789.2	64
ENST00000368787.4	69
ENST00000684028.1	76
ENST00000368784.2	71
ENST00000368783.2	71
ENST00000368780.4	54
ENST00000368779.2	70
ENST00000368777.2	256
ENST00000368775.3	0
ENST00000606109.2	63
ENST00000334371.4	73
ENST00000368770.4	73
ENST00000326233.7	73
ENST00000607093.2	71
ENST00000360090.4	476
ENST00000335123.4	0
ENST00000431011.3	177
ENST00000368765.4	145
ENST00000368764.4	63
ENST00000328051.3	67
ENST00000368762.2	64
ENST00000331860.7	150
ENST00000307098.5	64
ENST00000368758.3	179
ENST00000392653.3	61
